channel,eventNum,format,idHex,peakRssi,timestamp,type
914.35,107,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:00.723-0500","CUSTOM"
925.6,108,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:01.444-0500","CUSTOM"
904.45,109,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:02.230-0500","CUSTOM"
904.45,110,"epc","1111111111111111111111ff",-57,"2025-06-03T10:21:02.453-0500","CUSTOM"
917.95,111,"epc","1111111111111111111111ff",-57,"2025-06-03T10:21:03.458-0500","CUSTOM"
908.95,112,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:03.814-0500","CUSTOM"
917.5,113,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:04.452-0500","CUSTOM"
905.35,114,"epc","1111111111111111111111ee",-56,"2025-06-03T10:21:04.970-0500","CUSTOM"
904.9,115,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:05.477-0500","CUSTOM"
920.2,116,"epc","1111111111111111111111ff",-57,"2025-06-03T10:21:06.481-0500","CUSTOM"
913.9,117,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:06.592-0500","CUSTOM"
913.0,118,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:07.485-0500","CUSTOM"
913.0,119,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:07.617-0500","CUSTOM"
910.75,120,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:08.488-0500","CUSTOM"
911.2,121,"epc","1111111111111111111111ee",-57,"2025-06-03T10:21:08.620-0500","CUSTOM"
908.5,122,"epc","1111111111111111111111ff",-61,"2025-06-03T10:21:09.501-0500","CUSTOM"
908.5,123,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:09.633-0500","CUSTOM"
906.25,124,"epc","1111111111111111111111ff",-60,"2025-06-03T10:21:10.504-0500","CUSTOM"
906.25,125,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:10.646-0500","CUSTOM"
913.45,126,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:11.520-0500","CUSTOM"
907.15,127,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:11.662-0500","CUSTOM"
915.25,128,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:12.523-0500","CUSTOM"
909.85,129,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:12.868-0500","CUSTOM"
910.3,130,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:13.537-0500","CUSTOM"
907.6,131,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:13.882-0500","CUSTOM"
909.4,132,"epc","1111111111111111111111ff",-57,"2025-06-03T10:21:14.543-0500","CUSTOM"
915.7,133,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:15.536-0500","CUSTOM"
912.55,134,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:15.577-0500","CUSTOM"
908.05,135,"epc","1111111111111111111111ff",-58,"2025-06-03T10:21:16.540-0500","CUSTOM"
908.05,136,"epc","1111111111111111111111ee",-56,"2025-06-03T10:21:16.580-0500","CUSTOM"
922.45,137,"epc","1111111111111111111111ff",-57,"2025-06-03T10:21:17.542-0500","CUSTOM"
919.3,138,"epc","1111111111111111111111ff",-57,"2025-06-03T10:21:18.546-0500","CUSTOM"
903.1,139,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:19.155-0500","CUSTOM"
921.55,140,"epc","1111111111111111111111ff",-58,"2025-06-03T10:21:19.549-0500","CUSTOM"
914.35,141,"epc","1111111111111111111111ff",-58,"2025-06-03T10:21:20.552-0500","CUSTOM"
903.55,142,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:20.664-0500","CUSTOM"
924.7,143,"epc","1111111111111111111111ff",-57,"2025-06-03T10:21:21.555-0500","CUSTOM"
904.45,144,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:21.849-0500","CUSTOM"
926.95,145,"epc","1111111111111111111111ff",-57,"2025-06-03T10:21:22.568-0500","CUSTOM"
908.95,146,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:23.402-0500","CUSTOM"
908.95,147,"epc","1111111111111111111111ff",-57,"2025-06-03T10:21:23.574-0500","CUSTOM"
916.6,148,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:24.567-0500","CUSTOM"
905.35,149,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:24.607-0500","CUSTOM"
923.35,150,"epc","1111111111111111111111ff",-57,"2025-06-03T10:21:25.578-0500","CUSTOM"
913.9,151,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:26.237-0500","CUSTOM"
906.7,152,"epc","1111111111111111111111ff",-57,"2025-06-03T10:21:26.571-0500","CUSTOM"
913.0,153,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:27.251-0500","CUSTOM"
920.65,154,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:27.586-0500","CUSTOM"
911.2,155,"epc","1111111111111111111111ee",-57,"2025-06-03T10:21:28.256-0500","CUSTOM"
904.0,156,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:28.580-0500","CUSTOM"
908.5,157,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:29.263-0500","CUSTOM"
905.8,158,"epc","1111111111111111111111ff",-62,"2025-06-03T10:21:29.589-0500","CUSTOM"
906.25,159,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:30.278-0500","CUSTOM"
916.15,160,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:30.593-0500","CUSTOM"
907.15,161,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:31.292-0500","CUSTOM"
907.15,162,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:31.596-0500","CUSTOM"
909.85,163,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:32.508-0500","CUSTOM"
909.85,164,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:32.600-0500","CUSTOM"
907.6,165,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:33.513-0500","CUSTOM"
907.6,166,"epc","1111111111111111111111ff",-61,"2025-06-03T10:21:33.604-0500","CUSTOM"
918.4,167,"epc","1111111111111111111111ff",-57,"2025-06-03T10:21:34.608-0500","CUSTOM"
912.55,168,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:35.209-0500","CUSTOM"
922.0,169,"epc","1111111111111111111111ff",-58,"2025-06-03T10:21:35.614-0500","CUSTOM"
908.05,170,"epc","1111111111111111111111ee",-56,"2025-06-03T10:21:36.203-0500","CUSTOM"
924.25,171,"epc","1111111111111111111111ff",-57,"2025-06-03T10:21:36.608-0500","CUSTOM"
919.75,172,"epc","1111111111111111111111ff",-57,"2025-06-03T10:21:37.613-0500","CUSTOM"
921.1,173,"epc","1111111111111111111111ff",-58,"2025-06-03T10:21:38.626-0500","CUSTOM"
903.1,174,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:38.778-0500","CUSTOM"
914.8,175,"epc","1111111111111111111111ff",-58,"2025-06-03T10:21:39.630-0500","CUSTOM"
914.35,176,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:40.025-0500","CUSTOM"
925.6,177,"epc","1111111111111111111111ff",-58,"2025-06-03T10:21:40.695-0500","CUSTOM"
904.45,178,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:41.475-0500","CUSTOM"
904.45,179,"epc","1111111111111111111111ff",-57,"2025-06-03T10:21:41.708-0500","CUSTOM"
917.95,180,"epc","1111111111111111111111ff",-57,"2025-06-03T10:21:42.711-0500","CUSTOM"
908.95,181,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:43.056-0500","CUSTOM"
917.5,182,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:43.715-0500","CUSTOM"
905.35,183,"epc","1111111111111111111111ee",-56,"2025-06-03T10:21:44.233-0500","CUSTOM"
904.9,184,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:44.740-0500","CUSTOM"
920.2,185,"epc","1111111111111111111111ff",-57,"2025-06-03T10:21:45.754-0500","CUSTOM"
913.9,186,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:45.855-0500","CUSTOM"
913.0,187,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:46.757-0500","CUSTOM"
913.0,188,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:46.869-0500","CUSTOM"
911.2,189,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:47.765-0500","CUSTOM"
911.2,190,"epc","1111111111111111111111ee",-57,"2025-06-03T10:21:47.886-0500","CUSTOM"
908.5,191,"epc","1111111111111111111111ff",-61,"2025-06-03T10:21:48.776-0500","CUSTOM"
908.5,192,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:48.897-0500","CUSTOM"
906.25,193,"epc","1111111111111111111111ff",-60,"2025-06-03T10:21:49.776-0500","CUSTOM"
906.25,194,"epc","1111111111111111111111ee",-55,"2025-06-03T10:21:49.908-0500","CUSTOM"
913.45,195,"epc","1111111111111111111111ff",-59,"2025-06-03T10:21:50.787-0500","CUSTOM"
