CRC,PC,antenna,channel,eventNum,format,idHex,peakRssi,phase,reads,timestamp,<class 'type'>
d8b2,3000,6,909.85,95,epc,111111111111111111111111,-61,1.8842127323150635,1,2025-05-28T12:32:11.697-0500,CUSTOM
ebf0,3000,5,909.85,96,epc,e2801191a5030069bb92b1f1,-71,-7.317117691040039,1,2025-05-28T12:32:11.788-0500,CUSTOM
d8b2,3000,5,922.9,98,epc,111111111111111111111111,-48,-59.6630744934082,1,2025-05-28T12:32:12.859-0500,CUSTOM
ebf0,3000,5,909.4,99,epc,e2801191a5030069bb92b1f1,-70,-14.683675765991211,1,2025-05-28T12:32:13.243-0500,CUSTOM
d8b2,3000,5,915.7,103,epc,111111111111111111111111,-46,137.98699951171875,1,2025-05-28T12:32:14.032-0500,CUSTOM
94f7,3000,5,912.55,104,epc,1111111111111111111111fa,-42,11.805170059204102,1,2025-05-28T12:32:14.476-0500,CUSTOM
ebf0,3000,5,908.05,105,epc,e2801191a5030069bb92b1f1,-70,-41.13406753540039,1,2025-05-28T12:32:15.052-0500,CUSTOM
d8b2,3000,5,908.05,106,epc,111111111111111111111111,-47,-26.28009796142578,1,2025-05-28T12:32:15.214-0500,CUSTOM
d8b2,3000,5,922.45,108,epc,111111111111111111111111,-47,-70.13336944580078,1,2025-05-28T12:32:16.567-0500,CUSTOM
ebf0,3000,5,919.75,109,epc,e2801191a5030069bb92b1f1,-67,128.1649169921875,1,2025-05-28T12:32:16.628-0500,CUSTOM
d8b2,3000,5,921.1,113,epc,111111111111111111111111,-46,-102.01666259765625,1,2025-05-28T12:32:17.759-0500,CUSTOM
d8b2,3000,6,914.8,116,epc,111111111111111111111111,-61,112.43751525878906,1,2025-05-28T12:32:18.931-0500,CUSTOM
94f7,3000,5,903.55,117,epc,1111111111111111111111fa,-44,-106.46626281738281,1,2025-05-28T12:32:19.608-0500,CUSTOM
d8b2,3000,5,925.6,118,epc,111111111111111111111111,-50,1.4447462558746338,1,2025-05-28T12:32:20.123-0500,CUSTOM
83c5,30ae,5,918.85,121,epc,1a88ef6d80f9a5297a0a38bf,-67,-64.019287109375,1,2025-05-28T12:32:21.395-0500,CUSTOM
d8b2,3000,5,918.85,122,epc,111111111111111111111111,-46,-153.5331268310547,1,2025-05-28T12:32:21.396-0500,CUSTOM
9496,3000,6,918.85,123,epc,98003480000000000076a282,-66,-24.335458755493164,1,2025-05-28T12:32:21.456-0500,CUSTOM
d8b2,3000,5,917.5,126,epc,111111111111111111111111,-46,177.5994110107422,1,2025-05-28T12:32:22.577-0500,CUSTOM
83c5,30ae,5,917.5,127,epc,1a88ef6d80f9a5297a0a38bf,-66,-112.118896484375,1,2025-05-28T12:32:22.880-0500,CUSTOM
d8b2,3000,6,904.9,130,epc,111111111111111111111111,-62,-72.28125762939453,1,2025-05-28T12:32:23.719-0500,CUSTOM
94f7,3000,5,908.5,131,epc,1111111111111111111111fa,-43,-43.36436080932617,1,2025-05-28T12:32:37.820-0500,CUSTOM
d8b2,3000,5,908.5,132,epc,111111111111111111111111,-46,-15.710928916931152,1,2025-05-28T12:32:37.820-0500,CUSTOM
ebf0,3000,5,908.5,133,epc,e2801191a5030069bb92b1f1,-68,-28.653217315673828,1,2025-05-28T12:32:37.820-0500,CUSTOM
d8b2,3000,5,911.65,134,epc,111111111111111111111111,-46,51.72521209716797,1,2025-05-28T12:32:38.951-0500,CUSTOM
94f7,3000,5,906.25,135,epc,1111111111111111111111fa,-44,-71.9901123046875,1,2025-05-28T12:32:39.011-0500,CUSTOM
d8b2,3000,6,913.45,138,epc,111111111111111111111111,-60,80.97171020507812,1,2025-05-28T12:32:40.092-0500,CUSTOM
94f7,3000,5,907.15,139,epc,1111111111111111111111fa,-44,-60.47608947753906,1,2025-05-28T12:32:40.223-0500,CUSTOM
d8b2,3000,5,922.9,142,epc,111111111111111111111111,-48,-58.89400863647461,1,2025-05-28T12:32:41.234-0500,CUSTOM
94f7,3000,6,909.4,143,epc,1111111111111111111111fa,-61,-15.057222366333008,1,2025-05-28T12:32:41.477-0500,CUSTOM
d8b2,3000,5,915.7,146,epc,111111111111111111111111,-46,138.21221923828125,1,2025-05-28T12:32:42.477-0500,CUSTOM
94f7,3000,5,912.55,147,epc,1111111111111111111111fa,-42,14.139835357666016,1,2025-05-28T12:32:42.700-0500,CUSTOM
ebf0,3000,5,908.05,149,epc,e2801191a5030069bb92b1f1,-69,-54.47737121582031,1,2025-05-28T12:32:43.599-0500,CUSTOM
d8b2,3000,5,908.05,150,epc,111111111111111111111111,-47,-24.923246383666992,1,2025-05-28T12:32:43.680-0500,CUSTOM
d8b2,3000,5,919.75,152,epc,111111111111111111111111,-46,-133.6967010498047,1,2025-05-28T12:32:45.013-0500,CUSTOM
ebf0,3000,5,919.75,153,epc,e2801191a5030069bb92b1f1,-65,125.68743133544922,1,2025-05-28T12:32:45.033-0500,CUSTOM
d8b2,3000,6,903.1,156,epc,111111111111111111111111,-61,-108.42738342285156,1,2025-05-28T12:32:46.205-0500,CUSTOM
9496,3000,6,921.55,157,epc,98003480000000000076a282,-67,70.18830108642578,1,2025-05-28T12:32:46.457-0500,CUSTOM
d8b2,3000,5,914.35,160,epc,111111111111111111111111,-46,108.99319458007812,1,2025-05-28T12:32:47.397-0500,CUSTOM
94f7,3000,6,903.55,161,epc,1111111111111111111111fa,-60,-121.78166961669922,1,2025-05-28T12:32:47.780-0500,CUSTOM
d8b2,3000,5,924.7,162,epc,111111111111111111111111,-49,-18.19391441345215,1,2025-05-28T12:32:48.680-0500,CUSTOM
